country;year;ppc;Unnamed: 3;norm_ppc
894;2021;25.507486246878745;;0.20095937437302802
862;2021;41.99094208100646;;0.39824029260117294
860;2021;41.14118922631701;;0.3880700937589474
858;2021;36.93887314791285;;0.33777501104237206
842;2021;37.09780808328404;;0.33967721106062565
826;2021;91.31875810938575;;0.9886162998046799
818;2021;28.38254568121732;;0.23536929246753785
807;2021;69.65166902402396;;0.7292954830351063
804;2021;54.55672208014576;;0.548632822021521
795;2021;30.034462276929457;;0.25514012366445643
792;2021;21.461007783899536;;0.15252942164951314
784;2021;33.84097721122188;;0.30069809215378057
764;2021;35.889763619752266;;0.32521882785359546
762;2021;27.194131723271983;;0.22114585539112172
757;2021;60.38261774187861;;0.6183595866765642
752;2021;75.2494821550932;;0.7962924602272589
740;2021;50.23286014358565;;0.496883027456585
724;2021;41.16849343477795;;0.38839688198654193
710;2021;34.04192612213965;;0.3031031330664225
705;2021;62.79945852499794;;0.647285351619486
703;2021;53.35407550099771;;0.5342390429605162
702;2021;46.4132292387798;;0.4511680815268273
699;2021;21.62479088839411;;0.1544896465908175
694;2021;35.42953814332263;;0.3197106561755398
688;2021;41.62261788413457;;0.393832034011728
682;2021;24.70927098568816;;0.19140599908231004
670;2021;60.8284176093633;;0.6236951066117271
662;2021;64.63448144330843;;0.6692476761427488
646;2021;32.49869795218053;;0.2846331305700566
643;2021;28.9887068093208;;0.2426240832802067
642;2021;51.12142414186893;;0.5075177343560241
620;2021;37.52412628698268;;0.3447795662663167
616;2021;38.73105416644428;;0.35922458572651733
608;2021;16.812357411137267;;0.09689242275263225
604;2021;32.10151541871003;;0.27987948329513207
598;2021;25.286039941930067;;0.19830901204499882
586;2021;16.850032868326426;;0.09734333843825892
579;2021;43.83227079998573;;0.4202780875936517
566;2021;29.533750851583;;0.24914739915609493
554;2021;40.25307717396577;;0.37744079593812385
528;2021;54.43968604428519;;0.5472320856193551
516;2021;64.46177122878889;;0.6671806078015791
512;2021;23.184062469485426;;0.17315166336571333
508;2021;19.16393391271416;;0.12503707737986797
504;2021;29.46723026125036;;0.24835125280948164
499;2021;52.15147102749595;;0.5198457678375598
498;2021;42.80573201837284;;0.40799204057345717
496;2021;14.512601771083936;;0.06936798194752329
484;2021;38.75711698122409;;0.35953651643347045
480;2021;46.27844277676149;;0.44955490057379915
478;2021;27.73626908883353;;0.22763438294020105
470;2021;82.18769170950883;;0.8793318644352318
458;2021;27.08928486439543;;0.21989100417541504
450;2021;28.277640211956665;;0.23411373977815297
442;2021;67.24009848052896;;0.7004327945321516
440;2021;47.0052650925654;;0.4582538151274833
434;2021;51.17241081043877;;0.5081279642067346
430;2021;30.44838052726744;;0.26009407102354104
428;2021;58.4947395757667;;0.5957646683620255
417;2021;33.83873433701651;;0.3006712484938613
410;2021;30.82311718159936;;0.26457907659544794
404;2021;28.850725883580505;;0.240972669644502
400;2021;42.69279114227776;;0.406640316762277
398;2021;34.804948380802905;;0.3122353037308981
392;2021;41.12126718045462;;0.387831658351939
388;2021;53.97189886936668;;0.5416334123598192
380;2021;48.079498617962855;;0.47111069286079765
376;2021;39.668593783200514;;0.37044545338498436
372;2021;48.11404687182561;;0.471524180864394
368;2021;8.7166835596112;;0.0
364;2021;23.90097196131869;;0.18173193708128418
360;2021;23.153755491436417;;0.1727889367312991
348;2021;47.97887355759085;;0.4699063699016612
320;2021;26.59664190546788;;0.21399484645983238
308;2021;65.52047194394154;;0.6798515823421046
300;2021;50.672938081807;;0.5021500649405879
288;2021;23.728668191720388;;0.179669733243534
276;2021;47.11089325720568;;0.45951801733851744
268;2021;43.505844764037725;;0.4163712837805784
266;2021;56.24459714890322;;0.5688340193171417
251;2021;49.33128713570145;;0.4860926232698093
246;2021;83.47489944627824;;0.8947377069245523
233;2021;51.89873805486436;;0.5168209535383604
231;2021;19.796162896551536;;0.13260385923174442
222;2021;50.074666747285136;;0.4949897024891848
218;2021;43.11277016498494;;0.4116668019890392
212;2021;68.71584684831934;;0.718095170432028
208;2021;92.26990290881086;;1.0
203;2021;52.72388269464125;;0.5266966309354013
196;2021;53.69485066836258;;0.5383175832013254
192;2021;61.03043654965185;;0.6261129540850152
191;2021;56.477288522175;;0.5716189673428937
188;2021;41.37425291211816;;0.39085949777732626
178;2021;44.805794499603614;;0.4319296278598522
174;2021;41.14822401209328;;0.38815428902791566
170;2021;30.08785891790429;;0.2557791970764774
156;2021;30.30077592739801;;0.25832747721639476
152;2021;35.712794285190824;;0.32310078457603103
124;2021;28.10290313177835;;0.23202241305801755
120;2021;35.325281968697126;;0.3184628745168849
112;2021;39.53852934703488;;0.36888878761939553
104;2021;17.216592278599567;;0.10173047532093431
100;2021;49.719259308031816;;0.49073603707662966
96;2021;41.66196107081847;;0.3943029097839645
76;2021;29.5033768642584;;0.24878387052654377
70;2021;45.0212285169182;;0.43450803260586457
68;2021;28.24812782852193;;0.23376052318560744
56;2021;47.95013400691426;;0.4695624028959558
51;2021;41.276083780947125;;0.38968456840972465
40;2021;50.16186499490331;;0.49603332771748077
36;2021;43.7209869151734;;0.4189461953496529
32;2021;35.35703770766336;;0.3188429405300628
31;2021;36.26050554688669;;0.32965602285364637
28;2021;60.11232992754299;;0.6151246686633397
24;2021;37.64882326639846;;0.3462719920565741
12;2021;20.88717561237325;;0.14566155735899397
8;2021;52.38314356460537;;0.5226185220044719
